Permgroup;RoleGroup
"CN=PERM-D-DCSecurityLogManager,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-CALA,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-DCSecurityLogManager,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-CALA,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-CreateGroup-Citrix,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-CitrixAdmins,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-DeleteGroup-Citrix,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-CitrixAdmins,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-ModifyGroupMembers-Citrix,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-CitrixAdmins,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-FullControlComp-Citrix,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-CitrixAdmins,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-LocalAdmin-Citrix,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-CitrixAdmins,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-RemoteDesktop-Citrix,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-CitrixAdmins,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-FullControlComp-Lync,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-LyncAdmins,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-LocalAdmin-Lync,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-LyncAdmins,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-RemoteDesktop-Lync,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-LyncAdmins,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-CreateGroup-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L1,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-DeleteGroup-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L1,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-ModifyGroupMembers-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L1,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-FullControlComp-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L1,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-LocalAdmin-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L1,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-RemoteDesktop-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L1,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-CreateGroup-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L2,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-DeleteGroup-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L2,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-ModifyGroupMembers-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L2,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-FullControlComp-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L2,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-LocalAdmin-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L2,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-RemoteDesktop-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L2,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-CreateGroup-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L3,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-DeleteGroup-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L3,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-ModifyGroupMembers-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L3,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-FullControlComp-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L3,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-LocalAdmin-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L3,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-RemoteDesktop-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L3,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-CreateGroup-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L4,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-DeleteGroup-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L4,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-ModifyGroupMembers-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L4,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-FullControlComp-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L4,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-LocalAdmin-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L4,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-RemoteDesktop-Exchange,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-ExchangeAdmin_L4,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-CreateGroup-SharePoint,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-SharepointAdmins,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-DeleteGroup-SharePoint,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-SharepointAdmins,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-ModifyGroupMembers-SharePoint,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-SharepointAdmins,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-FullControlComp-SharePoint,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-SharepointAdmins,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
"CN=PERM-D-MWS-LocalAdmin-SharePoint,OU=Permissions,OU=Administration,DC=sitmws,DC=cscmws,DC=com";"CN=ROLE-G-MWS-SharepointAdmins,OU=roles,OU=Administration,ou=global,DC=lab-broker,DC=csc,DC=com"
;;
